"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Kiowa County, CO"	"08061"	"2011"	"2011"	733
	"Female"	"F"	"Kiowa County, CO"	"08061"	"2015"	"2015"	709
"Total"	"Female"	"F"	"Kiowa County, CO"	"08061"			1442
	"Female"	"F"	"Kit Carson County, CO"	"08063"	"2011"	"2011"	3665
	"Female"	"F"	"Kit Carson County, CO"	"08063"	"2015"	"2015"	3615
"Total"	"Female"	"F"	"Kit Carson County, CO"	"08063"			7280
	"Female"	"F"	"Lake County, CO"	"08065"	"2011"	"2011"	3414
	"Female"	"F"	"Lake County, CO"	"08065"	"2015"	"2015"	3452
"Total"	"Female"	"F"	"Lake County, CO"	"08065"			6866
	"Female"	"F"	"La Plata County, CO"	"08067"	"2011"	"2011"	25518
	"Female"	"F"	"La Plata County, CO"	"08067"	"2015"	"2015"	26980
"Total"	"Female"	"F"	"La Plata County, CO"	"08067"			52498
	"Female"	"F"	"Larimer County, CO"	"08069"	"2011"	"2011"	153773
	"Female"	"F"	"Larimer County, CO"	"08069"	"2015"	"2015"	167129
"Total"	"Female"	"F"	"Larimer County, CO"	"08069"			320902
	"Female"	"F"	"Las Animas County, CO"	"08071"	"2011"	"2011"	7323
	"Female"	"F"	"Las Animas County, CO"	"08071"	"2015"	"2015"	6733
"Total"	"Female"	"F"	"Las Animas County, CO"	"08071"			14056
	"Female"	"F"	"Lincoln County, CO"	"08073"	"2011"	"2011"	2278
	"Female"	"F"	"Lincoln County, CO"	"08073"	"2015"	"2015"	2301
"Total"	"Female"	"F"	"Lincoln County, CO"	"08073"			4579
	"Female"	"F"	"Logan County, CO"	"08075"	"2011"	"2011"	9743
	"Female"	"F"	"Logan County, CO"	"08075"	"2015"	"2015"	9682
"Total"	"Female"	"F"	"Logan County, CO"	"08075"			19425
	"Female"	"F"	"Mesa County, CO"	"08077"	"2011"	"2011"	74096
	"Female"	"F"	"Mesa County, CO"	"08077"	"2015"	"2015"	74787
"Total"	"Female"	"F"	"Mesa County, CO"	"08077"			148883
	"Female"	"F"	"Mineral County, CO"	"08079"	"2011"	"2011"	351
	"Female"	"F"	"Mineral County, CO"	"08079"	"2015"	"2015"	360
"Total"	"Female"	"F"	"Mineral County, CO"	"08079"			711
	"Female"	"F"	"Moffat County, CO"	"08081"	"2011"	"2011"	6559
	"Female"	"F"	"Moffat County, CO"	"08081"	"2015"	"2015"	6278
"Total"	"Female"	"F"	"Moffat County, CO"	"08081"			12837
	"Female"	"F"	"Montezuma County, CO"	"08083"	"2011"	"2011"	12890
	"Female"	"F"	"Montezuma County, CO"	"08083"	"2015"	"2015"	13012
"Total"	"Female"	"F"	"Montezuma County, CO"	"08083"			25902
	"Female"	"F"	"Montrose County, CO"	"08085"	"2011"	"2011"	20860
	"Female"	"F"	"Montrose County, CO"	"08085"	"2015"	"2015"	20601
"Total"	"Female"	"F"	"Montrose County, CO"	"08085"			41461
	"Female"	"F"	"Morgan County, CO"	"08087"	"2011"	"2011"	14387
	"Female"	"F"	"Morgan County, CO"	"08087"	"2015"	"2015"	14099
"Total"	"Female"	"F"	"Morgan County, CO"	"08087"			28486
	"Female"	"F"	"Otero County, CO"	"08089"	"2011"	"2011"	9643
	"Female"	"F"	"Otero County, CO"	"08089"	"2015"	"2015"	9223
"Total"	"Female"	"F"	"Otero County, CO"	"08089"			18866
	"Female"	"F"	"Ouray County, CO"	"08091"	"2011"	"2011"	2235
	"Female"	"F"	"Ouray County, CO"	"08091"	"2015"	"2015"	2299
"Total"	"Female"	"F"	"Ouray County, CO"	"08091"			4534
	"Female"	"F"	"Park County, CO"	"08093"	"2011"	"2011"	7591
	"Female"	"F"	"Park County, CO"	"08093"	"2015"	"2015"	7869
"Total"	"Female"	"F"	"Park County, CO"	"08093"			15460
	"Female"	"F"	"Phillips County, CO"	"08095"	"2011"	"2011"	2250
	"Female"	"F"	"Phillips County, CO"	"08095"	"2015"	"2015"	2212
"Total"	"Female"	"F"	"Phillips County, CO"	"08095"			4462
	"Female"	"F"	"Pitkin County, CO"	"08097"	"2011"	"2011"	8121
	"Female"	"F"	"Pitkin County, CO"	"08097"	"2015"	"2015"	8587
"Total"	"Female"	"F"	"Pitkin County, CO"	"08097"			16708
	"Female"	"F"	"Prowers County, CO"	"08099"	"2011"	"2011"	6305
	"Female"	"F"	"Prowers County, CO"	"08099"	"2015"	"2015"	5949
"Total"	"Female"	"F"	"Prowers County, CO"	"08099"			12254
	"Female"	"F"	"Pueblo County, CO"	"08101"	"2011"	"2011"	81364
	"Female"	"F"	"Pueblo County, CO"	"08101"	"2015"	"2015"	82676
"Total"	"Female"	"F"	"Pueblo County, CO"	"08101"			164040
	"Female"	"F"	"Rio Blanco County, CO"	"08103"	"2011"	"2011"	3273
	"Female"	"F"	"Rio Blanco County, CO"	"08103"	"2015"	"2015"	3167
"Total"	"Female"	"F"	"Rio Blanco County, CO"	"08103"			6440
	"Female"	"F"	"Rio Grande County, CO"	"08105"	"2011"	"2011"	5974
	"Female"	"F"	"Rio Grande County, CO"	"08105"	"2015"	"2015"	5710
"Total"	"Female"	"F"	"Rio Grande County, CO"	"08105"			11684
	"Female"	"F"	"Routt County, CO"	"08107"	"2011"	"2011"	10935
	"Female"	"F"	"Routt County, CO"	"08107"	"2015"	"2015"	11611
"Total"	"Female"	"F"	"Routt County, CO"	"08107"			22546
	"Female"	"F"	"Saguache County, CO"	"08109"	"2011"	"2011"	3030
	"Female"	"F"	"Saguache County, CO"	"08109"	"2015"	"2015"	3126
"Total"	"Female"	"F"	"Saguache County, CO"	"08109"			6156
	"Female"	"F"	"San Juan County, CO"	"08111"	"2011"	"2011"	297
	"Female"	"F"	"San Juan County, CO"	"08111"	"2015"	"2015"	306
"Total"	"Female"	"F"	"San Juan County, CO"	"08111"			603
	"Female"	"F"	"San Miguel County, CO"	"08113"	"2011"	"2011"	3450
	"Female"	"F"	"San Miguel County, CO"	"08113"	"2015"	"2015"	3651
"Total"	"Female"	"F"	"San Miguel County, CO"	"08113"			7101
	"Female"	"F"	"Sedgwick County, CO"	"08115"	"2011"	"2011"	1206
	"Female"	"F"	"Sedgwick County, CO"	"08115"	"2015"	"2015"	1194
"Total"	"Female"	"F"	"Sedgwick County, CO"	"08115"			2400
	"Female"	"F"	"Summit County, CO"	"08117"	"2011"	"2011"	12768
	"Female"	"F"	"Summit County, CO"	"08117"	"2015"	"2015"	13806
"Total"	"Female"	"F"	"Summit County, CO"	"08117"			26574
	"Female"	"F"	"Teller County, CO"	"08119"	"2011"	"2011"	11482
	"Female"	"F"	"Teller County, CO"	"08119"	"2015"	"2015"	11514
"Total"	"Female"	"F"	"Teller County, CO"	"08119"			22996
	"Female"	"F"	"Washington County, CO"	"08121"	"2011"	"2011"	2302
	"Female"	"F"	"Washington County, CO"	"08121"	"2015"	"2015"	2295
"Total"	"Female"	"F"	"Washington County, CO"	"08121"			4597
	"Female"	"F"	"Weld County, CO"	"08123"	"2011"	"2011"	129151
	"Female"	"F"	"Weld County, CO"	"08123"	"2015"	"2015"	141620
"Total"	"Female"	"F"	"Weld County, CO"	"08123"			270771
	"Female"	"F"	"Yuma County, CO"	"08125"	"2011"	"2011"	5114
	"Female"	"F"	"Yuma County, CO"	"08125"	"2015"	"2015"	5054
"Total"	"Female"	"F"	"Yuma County, CO"	"08125"			10168
	"Female"	"F"	"Fairfield County, CT"	"09001"	"2011"	"2011"	476515
	"Female"	"F"	"Fairfield County, CT"	"09001"	"2015"	"2015"	484796
"Total"	"Female"	"F"	"Fairfield County, CT"	"09001"			961311
	"Female"	"F"	"Hartford County, CT"	"09003"	"2011"	"2011"	462923
	"Female"	"F"	"Hartford County, CT"	"09003"	"2015"	"2015"	461168
"Total"	"Female"	"F"	"Hartford County, CT"	"09003"			924091
	"Female"	"F"	"Litchfield County, CT"	"09005"	"2011"	"2011"	95981
	"Female"	"F"	"Litchfield County, CT"	"09005"	"2015"	"2015"	93206
"Total"	"Female"	"F"	"Litchfield County, CT"	"09005"			189187
	"Female"	"F"	"Middlesex County, CT"	"09007"	"2011"	"2011"	85005
	"Female"	"F"	"Middlesex County, CT"	"09007"	"2015"	"2015"	83887
"Total"	"Female"	"F"	"Middlesex County, CT"	"09007"			168892
	"Female"	"F"	"New Haven County, CT"	"09009"	"2011"	"2011"	447791
	"Female"	"F"	"New Haven County, CT"	"09009"	"2015"	"2015"	445454
"Total"	"Female"	"F"	"New Haven County, CT"	"09009"			893245
	"Female"	"F"	"New London County, CT"	"09011"	"2011"	"2011"	136872
	"Female"	"F"	"New London County, CT"	"09011"	"2015"	"2015"	134636
"Total"	"Female"	"F"	"New London County, CT"	"09011"			271508
	"Female"	"F"	"Tolland County, CT"	"09013"	"2011"	"2011"	75998
	"Female"	"F"	"Tolland County, CT"	"09013"	"2015"	"2015"	75639
"Total"	"Female"	"F"	"Tolland County, CT"	"09013"			151637
	"Female"	"F"	"Windham County, CT"	"09015"	"2011"	"2011"	59653
	"Female"	"F"	"Windham County, CT"	"09015"	"2015"	"2015"	58658
"Total"	"Female"	"F"	"Windham County, CT"	"09015"			118311
	"Female"	"F"	"Kent County, DE"	"10001"	"2011"	"2011"	85625
	"Female"	"F"	"Kent County, DE"	"10001"	"2015"	"2015"	89652
"Total"	"Female"	"F"	"Kent County, DE"	"10001"			175277
	"Female"	"F"	"New Castle County, DE"	"10003"	"2011"	"2011"	279853
	"Female"	"F"	"New Castle County, DE"	"10003"	"2015"	"2015"	285338
"Total"	"Female"	"F"	"New Castle County, DE"	"10003"			565191
	"Female"	"F"	"Sussex County, DE"	"10005"	"2011"	"2011"	102651
	"Female"	"F"	"Sussex County, DE"	"10005"	"2015"	"2015"	110623
"Total"	"Female"	"F"	"Sussex County, DE"	"10005"			213274
	"Female"	"F"	"District of Columbia, DC"	"11001"	"2011"	"2011"	326399
	"Female"	"F"	"District of Columbia, DC"	"11001"	"2015"	"2015"	355098
"Total"	"Female"	"F"	"District of Columbia, DC"	"11001"			681497
	"Female"	"F"	"Alachua County, FL"	"12001"	"2011"	"2011"	128923
	"Female"	"F"	"Alachua County, FL"	"12001"	"2015"	"2015"	133669
"Total"	"Female"	"F"	"Alachua County, FL"	"12001"			262592
	"Female"	"F"	"Baker County, FL"	"12003"	"2011"	"2011"	12931
	"Female"	"F"	"Baker County, FL"	"12003"	"2015"	"2015"	13060
"Total"	"Female"	"F"	"Baker County, FL"	"12003"			25991
	"Female"	"F"	"Bay County, FL"	"12005"	"2011"	"2011"	85639
	"Female"	"F"	"Bay County, FL"	"12005"	"2015"	"2015"	91111
"Total"	"Female"	"F"	"Bay County, FL"	"12005"			176750
	"Female"	"F"	"Bradford County, FL"	"12007"	"2011"	"2011"	12351
	"Female"	"F"	"Bradford County, FL"	"12007"	"2015"	"2015"	12182
"Total"	"Female"	"F"	"Bradford County, FL"	"12007"			24533
	"Female"	"F"	"Brevard County, FL"	"12009"	"2011"	"2011"	277924
	"Female"	"F"	"Brevard County, FL"	"12009"	"2015"	"2015"	289200
"Total"	"Female"	"F"	"Brevard County, FL"	"12009"			567124
	"Female"	"F"	"Broward County, FL"	"12011"	"2011"	"2011"	919715
	"Female"	"F"	"Broward County, FL"	"12011"	"2015"	"2015"	967569
"Total"	"Female"	"F"	"Broward County, FL"	"12011"			1887284
	"Female"	"F"	"Calhoun County, FL"	"12013"	"2011"	"2011"	6700
	"Female"	"F"	"Calhoun County, FL"	"12013"	"2015"	"2015"	6566
"Total"	"Female"	"F"	"Calhoun County, FL"	"12013"			13266
	"Female"	"F"	"Charlotte County, FL"	"12015"	"2011"	"2011"	82321
	"Female"	"F"	"Charlotte County, FL"	"12015"	"2015"	"2015"	88503
"Total"	"Female"	"F"	"Charlotte County, FL"	"12015"			170824
	"Female"	"F"	"Citrus County, FL"	"12017"	"2011"	"2011"	72121
	"Female"	"F"	"Citrus County, FL"	"12017"	"2015"	"2015"	72407
"Total"	"Female"	"F"	"Citrus County, FL"	"12017"			144528
	"Female"	"F"	"Clay County, FL"	"12019"	"2011"	"2011"	98080
	"Female"	"F"	"Clay County, FL"	"12019"	"2015"	"2015"	102657
"Total"	"Female"	"F"	"Clay County, FL"	"12019"			200737
	"Female"	"F"	"Collier County, FL"	"12021"	"2011"	"2011"	166150
	"Female"	"F"	"Collier County, FL"	"12021"	"2015"	"2015"	180445
"Total"	"Female"	"F"	"Collier County, FL"	"12021"			346595
	"Female"	"F"	"Columbia County, FL"	"12023"	"2011"	"2011"	32557
	"Female"	"F"	"Columbia County, FL"	"12023"	"2015"	"2015"	32832
"Total"	"Female"	"F"	"Columbia County, FL"	"12023"			65389
	"Female"	"F"	"DeSoto County, FL"	"12027"	"2011"	"2011"	15069
	"Female"	"F"	"DeSoto County, FL"	"12027"	"2015"	"2015"	15374
"Total"	"Female"	"F"	"DeSoto County, FL"	"12027"			30443
	"Female"	"F"	"Dixie County, FL"	"12029"	"2011"	"2011"	7575
	"Female"	"F"	"Dixie County, FL"	"12029"	"2015"	"2015"	7385
"Total"	"Female"	"F"	"Dixie County, FL"	"12029"			14960
	"Female"	"F"	"Duval County, FL"	"12031"	"2011"	"2011"	449267
	"Female"	"F"	"Duval County, FL"	"12031"	"2015"	"2015"	468727
"Total"	"Female"	"F"	"Duval County, FL"	"12031"			917994
	"Female"	"F"	"Escambia County, FL"	"12033"	"2011"	"2011"	151139
	"Female"	"F"	"Escambia County, FL"	"12033"	"2015"	"2015"	155489
"Total"	"Female"	"F"	"Escambia County, FL"	"12033"			306628
	"Female"	"F"	"Flagler County, FL"	"12035"	"2011"	"2011"	50664
	"Female"	"F"	"Flagler County, FL"	"12035"	"2015"	"2015"	54159
"Total"	"Female"	"F"	"Flagler County, FL"	"12035"			104823
	"Female"	"F"	"Franklin County, FL"	"12037"	"2011"	"2011"	4873
	"Female"	"F"	"Franklin County, FL"	"12037"	"2015"	"2015"	4972
"Total"	"Female"	"F"	"Franklin County, FL"	"12037"			9845
	"Female"	"F"	"Gadsden County, FL"	"12039"	"2011"	"2011"	24869
	"Female"	"F"	"Gadsden County, FL"	"12039"	"2015"	"2015"	24203
"Total"	"Female"	"F"	"Gadsden County, FL"	"12039"			49072
	"Female"	"F"	"Gilchrist County, FL"	"12041"	"2011"	"2011"	8128
	"Female"	"F"	"Gilchrist County, FL"	"12041"	"2015"	"2015"	8340
"Total"	"Female"	"F"	"Gilchrist County, FL"	"12041"			16468
	"Female"	"F"	"Glades County, FL"	"12043"	"2011"	"2011"	5494
	"Female"	"F"	"Glades County, FL"	"12043"	"2015"	"2015"	5699
"Total"	"Female"	"F"	"Glades County, FL"	"12043"			11193
	"Female"	"F"	"Gulf County, FL"	"12045"	"2011"	"2011"	6368
	"Female"	"F"	"Gulf County, FL"	"12045"	"2015"	"2015"	6419
"Total"	"Female"	"F"	"Gulf County, FL"	"12045"			12787
	"Female"	"F"	"Hamilton County, FL"	"12047"	"2011"	"2011"	6054
	"Female"	"F"	"Hamilton County, FL"	"12047"	"2015"	"2015"	6043
"Total"	"Female"	"F"	"Hamilton County, FL"	"12047"			12097
	"Female"	"F"	"Hardee County, FL"	"12049"	"2011"	"2011"	12845
	"Female"	"F"	"Hardee County, FL"	"12049"	"2015"	"2015"	12733
"Total"	"Female"	"F"	"Hardee County, FL"	"12049"			25578
	"Female"	"F"	"Hendry County, FL"	"12051"	"2011"	"2011"	18024
	"Female"	"F"	"Hendry County, FL"	"12051"	"2015"	"2015"	18639
"Total"	"Female"	"F"	"Hendry County, FL"	"12051"			36663
	"Female"	"F"	"Hernando County, FL"	"12053"	"2011"	"2011"	90211
	"Female"	"F"	"Hernando County, FL"	"12053"	"2015"	"2015"	92666
"Total"	"Female"	"F"	"Hernando County, FL"	"12053"			182877
	"Female"	"F"	"Highlands County, FL"	"12055"	"2011"	"2011"	50411
	"Female"	"F"	"Highlands County, FL"	"12055"	"2015"	"2015"	51385
"Total"	"Female"	"F"	"Highlands County, FL"	"12055"			101796
	"Female"	"F"	"Hillsborough County, FL"	"12057"	"2011"	"2011"	640906
	"Female"	"F"	"Hillsborough County, FL"	"12057"	"2015"	"2015"	698376
"Total"	"Female"	"F"	"Hillsborough County, FL"	"12057"			1339282
	"Female"	"F"	"Holmes County, FL"	"12059"	"2011"	"2011"	9296
	"Female"	"F"	"Holmes County, FL"	"12059"	"2015"	"2015"	9026
"Total"	"Female"	"F"	"Holmes County, FL"	"12059"			18322
	"Female"	"F"	"Indian River County, FL"	"12061"	"2011"	"2011"	72061
	"Female"	"F"	"Indian River County, FL"	"12061"	"2015"	"2015"	76699
"Total"	"Female"	"F"	"Indian River County, FL"	"12061"			148760
	"Female"	"F"	"Jackson County, FL"	"12063"	"2011"	"2011"	22332
	"Female"	"F"	"Jackson County, FL"	"12063"	"2015"	"2015"	21750
"Total"	"Female"	"F"	"Jackson County, FL"	"12063"			44082
	"Female"	"F"	"Jefferson County, FL"	"12065"	"2011"	"2011"	6990
	"Female"	"F"	"Jefferson County, FL"	"12065"	"2015"	"2015"	6690
"Total"	"Female"	"F"	"Jefferson County, FL"	"12065"			13680
	"Female"	"F"	"Lafayette County, FL"	"12067"	"2011"	"2011"	3443
	"Female"	"F"	"Lafayette County, FL"	"12067"	"2015"	"2015"	3584
"Total"	"Female"	"F"	"Lafayette County, FL"	"12067"			7027
	"Female"	"F"	"Lake County, FL"	"12069"	"2011"	"2011"	155121
	"Female"	"F"	"Lake County, FL"	"12069"	"2015"	"2015"	167711
"Total"	"Female"	"F"	"Lake County, FL"	"12069"			322832
	"Female"	"F"	"Lee County, FL"	"12071"	"2011"	"2011"	321516
	"Female"	"F"	"Lee County, FL"	"12071"	"2015"	"2015"	357036
"Total"	"Female"	"F"	"Lee County, FL"	"12071"			678552
	"Female"	"F"	"Leon County, FL"	"12073"	"2011"	"2011"	145988
	"Female"	"F"	"Leon County, FL"	"12073"	"2015"	"2015"	149950
"Total"	"Female"	"F"	"Leon County, FL"	"12073"			295938
	"Female"	"F"	"Levy County, FL"	"12075"	"2011"	"2011"	20372
	"Female"	"F"	"Levy County, FL"	"12075"	"2015"	"2015"	20154
"Total"	"Female"	"F"	"Levy County, FL"	"12075"			40526
	"Female"	"F"	"Liberty County, FL"	"12077"	"2011"	"2011"	3237
	"Female"	"F"	"Liberty County, FL"	"12077"	"2015"	"2015"	3231
"Total"	"Female"	"F"	"Liberty County, FL"	"12077"			6468
	"Female"	"F"	"Madison County, FL"	"12079"	"2011"	"2011"	9056
	"Female"	"F"	"Madison County, FL"	"12079"	"2015"	"2015"	8717
"Total"	"Female"	"F"	"Madison County, FL"	"12079"			17773
	"Female"	"F"	"Manatee County, FL"	"12081"	"2011"	"2011"	169274
	"Female"	"F"	"Manatee County, FL"	"12081"	"2015"	"2015"	187247
"Total"	"Female"	"F"	"Manatee County, FL"	"12081"			356521
	"Female"	"F"	"Marion County, FL"	"12083"	"2011"	"2011"	172896
	"Female"	"F"	"Marion County, FL"	"12083"	"2015"	"2015"	177920
"Total"	"Female"	"F"	"Marion County, FL"	"12083"			350816
	"Female"	"F"	"Martin County, FL"	"12085"	"2011"	"2011"	74675
	"Female"	"F"	"Martin County, FL"	"12085"	"2015"	"2015"	78584
"Total"	"Female"	"F"	"Martin County, FL"	"12085"			153259
	"Female"	"F"	"Miami-Dade County, FL"	"12086"	"2011"	"2011"	1308453
	"Female"	"F"	"Miami-Dade County, FL"	"12086"	"2015"	"2015"	1367675
"Total"	"Female"	"F"	"Miami-Dade County, FL"	"12086"			2676128
	"Female"	"F"	"Monroe County, FL"	"12087"	"2011"	"2011"	34719
	"Female"	"F"	"Monroe County, FL"	"12087"	"2015"	"2015"	36525
"Total"	"Female"	"F"	"Monroe County, FL"	"12087"			71244
	"Female"	"F"	"Nassau County, FL"	"12089"	"2011"	"2011"	37593
	"Female"	"F"	"Nassau County, FL"	"12089"	"2015"	"2015"	39597
"Total"	"Female"	"F"	"Nassau County, FL"	"12089"			77190
	"Female"	"F"	"Okaloosa County, FL"	"12091"	"2011"	"2011"	91007
	"Female"	"F"	"Okaloosa County, FL"	"12091"	"2015"	"2015"	97346
"Total"	"Female"	"F"	"Okaloosa County, FL"	"12091"			188353
	"Female"	"F"	"Okeechobee County, FL"	"12093"	"2011"	"2011"	18502
	"Female"	"F"	"Okeechobee County, FL"	"12093"	"2015"	"2015"	18578
"Total"	"Female"	"F"	"Okeechobee County, FL"	"12093"			37080
	"Female"	"F"	"Orange County, FL"	"12095"	"2011"	"2011"	594763
	"Female"	"F"	"Orange County, FL"	"12095"	"2015"	"2015"	657654
"Total"	"Female"	"F"	"Orange County, FL"	"12095"			1252417
	"Female"	"F"	"Osceola County, FL"	"12097"	"2011"	"2011"	141924
	"Female"	"F"	"Osceola County, FL"	"12097"	"2015"	"2015"	164396
"Total"	"Female"	"F"	"Osceola County, FL"	"12097"			306320
	"Female"	"F"	"Palm Beach County, FL"	"12099"	"2011"	"2011"	690171
	"Female"	"F"	"Palm Beach County, FL"	"12099"	"2015"	"2015"	734033
"Total"	"Female"	"F"	"Palm Beach County, FL"	"12099"			1424204
	"Female"	"F"	"Pasco County, FL"	"12101"	"2011"	"2011"	239880
	"Female"	"F"	"Pasco County, FL"	"12101"	"2015"	"2015"	254097
"Total"	"Female"	"F"	"Pasco County, FL"	"12101"			493977
	"Female"	"F"	"Pinellas County, FL"	"12103"	"2011"	"2011"	477388
	"Female"	"F"	"Pinellas County, FL"	"12103"	"2015"	"2015"	492436
"Total"	"Female"	"F"	"Pinellas County, FL"	"12103"			969824
	"Female"	"F"	"Polk County, FL"	"12105"	"2011"	"2011"	310923
	"Female"	"F"	"Polk County, FL"	"12105"	"2015"	"2015"	330718
"Total"	"Female"	"F"	"Polk County, FL"	"12105"			641641
	"Female"	"F"	"Putnam County, FL"	"12107"	"2011"	"2011"	37193
	"Female"	"F"	"Putnam County, FL"	"12107"	"2015"	"2015"	36415
"Total"	"Female"	"F"	"Putnam County, FL"	"12107"			73608
	"Female"	"F"	"St. Johns County, FL"	"12109"	"2011"	"2011"	100685
	"Female"	"F"	"St. Johns County, FL"	"12109"	"2015"	"2015"	115926
"Total"	"Female"	"F"	"St. Johns County, FL"	"12109"			216611
	"Female"	"F"	"St. Lucie County, FL"	"12111"	"2011"	"2011"	143487
	"Female"	"F"	"St. Lucie County, FL"	"12111"	"2015"	"2015"	152084
"Total"	"Female"	"F"	"St. Lucie County, FL"	"12111"			295571
	"Female"	"F"	"Santa Rosa County, FL"	"12113"	"2011"	"2011"	76345
	"Female"	"F"	"Santa Rosa County, FL"	"12113"	"2015"	"2015"	80993
"Total"	"Female"	"F"	"Santa Rosa County, FL"	"12113"			157338
	"Female"	"F"	"Sarasota County, FL"	"12115"	"2011"	"2011"	199758
	"Female"	"F"	"Sarasota County, FL"	"12115"	"2015"	"2015"	211387
"Total"	"Female"	"F"	"Sarasota County, FL"	"12115"			411145
	"Female"	"F"	"Seminole County, FL"	"12117"	"2011"	"2011"	219879
	"Female"	"F"	"Seminole County, FL"	"12117"	"2015"	"2015"	231701
"Total"	"Female"	"F"	"Seminole County, FL"	"12117"			451580
	"Female"	"F"	"Sumter County, FL"	"12119"	"2011"	"2011"	47363
	"Female"	"F"	"Sumter County, FL"	"12119"	"2015"	"2015"	58033
"Total"	"Female"	"F"	"Sumter County, FL"	"12119"			105396
	"Female"	"F"	"Suwannee County, FL"	"12121"	"2011"	"2011"	20842
	"Female"	"F"	"Suwannee County, FL"	"12121"	"2015"	"2015"	20766
"Total"	"Female"	"F"	"Suwannee County, FL"	"12121"			41608
	"Female"	"F"	"Taylor County, FL"	"12123"	"2011"	"2011"	10050
	"Female"	"F"	"Taylor County, FL"	"12123"	"2015"	"2015"	9812
"Total"	"Female"	"F"	"Taylor County, FL"	"12123"			19862
	"Female"	"F"	"Union County, FL"	"12125"	"2011"	"2011"	5462
	"Female"	"F"	"Union County, FL"	"12125"	"2015"	"2015"	5336
"Total"	"Female"	"F"	"Union County, FL"	"12125"			10798
	"Female"	"F"	"Volusia County, FL"	"12127"	"2011"	"2011"	253171
	"Female"	"F"	"Volusia County, FL"	"12127"	"2015"	"2015"	264742
"Total"	"Female"	"F"	"Volusia County, FL"	"12127"			517913
	"Female"	"F"	"Wakulla County, FL"	"12129"	"2011"	"2011"	13862
	"Female"	"F"	"Wakulla County, FL"	"12129"	"2015"	"2015"	14177
"Total"	"Female"	"F"	"Wakulla County, FL"	"12129"			28039
	"Female"	"F"	"Walton County, FL"	"12131"	"2011"	"2011"	27119
	"Female"	"F"	"Walton County, FL"	"12131"	"2015"	"2015"	31067
"Total"	"Female"	"F"	"Walton County, FL"	"12131"			58186
	"Female"	"F"	"Washington County, FL"	"12133"	"2011"	"2011"	11273
	"Female"	"F"	"Washington County, FL"	"12133"	"2015"	"2015"	11126
"Total"	"Female"	"F"	"Washington County, FL"	"12133"			22399
	"Female"	"F"	"Appling County, GA"	"13001"	"2011"	"2011"	9092
	"Female"	"F"	"Appling County, GA"	"13001"	"2015"	"2015"	9230
"Total"	"Female"	"F"	"Appling County, GA"	"13001"			18322
	"Female"	"F"	"Atkinson County, GA"	"13003"	"2011"	"2011"	4191
	"Female"	"F"	"Atkinson County, GA"	"13003"	"2015"	"2015"	4133
"Total"	"Female"	"F"	"Atkinson County, GA"	"13003"			8324
	"Female"	"F"	"Bacon County, GA"	"13005"	"2011"	"2011"	5625
	"Female"	"F"	"Bacon County, GA"	"13005"	"2015"	"2015"	5698
"Total"	"Female"	"F"	"Bacon County, GA"	"13005"			11323
	"Female"	"F"	"Baker County, GA"	"13007"	"2011"	"2011"	1713
	"Female"	"F"	"Baker County, GA"	"13007"	"2015"	"2015"	1648
"Total"	"Female"	"F"	"Baker County, GA"	"13007"			3361
	"Female"	"F"	"Baldwin County, GA"	"13009"	"2011"	"2011"	23077
	"Female"	"F"	"Baldwin County, GA"	"13009"	"2015"	"2015"	22470
"Total"	"Female"	"F"	"Baldwin County, GA"	"13009"			45547
	"Female"	"F"	"Banks County, GA"	"13011"	"2011"	"2011"	9060
	"Female"	"F"	"Banks County, GA"	"13011"	"2015"	"2015"	9052
"Total"	"Female"	"F"	"Banks County, GA"	"13011"			18112
	"Female"	"F"	"Barrow County, GA"	"13013"	"2011"	"2011"	35403
	"Female"	"F"	"Barrow County, GA"	"13013"	"2015"	"2015"	38085
"Total"	"Female"	"F"	"Barrow County, GA"	"13013"			73488
	"Female"	"F"	"Bartow County, GA"	"13015"	"2011"	"2011"	50721
	"Female"	"F"	"Bartow County, GA"	"13015"	"2015"	"2015"	51758
"Total"	"Female"	"F"	"Bartow County, GA"	"13015"			102479
	"Female"	"F"	"Ben Hill County, GA"	"13017"	"2011"	"2011"	9190
	"Female"	"F"	"Ben Hill County, GA"	"13017"	"2015"	"2015"	9104
"Total"	"Female"	"F"	"Ben Hill County, GA"	"13017"			18294
	"Female"	"F"	"Berrien County, GA"	"13019"	"2011"	"2011"	9778
	"Female"	"F"	"Berrien County, GA"	"13019"	"2015"	"2015"	9612
"Total"	"Female"	"F"	"Berrien County, GA"	"13019"			19390
	"Female"	"F"	"Bibb County, GA"	"13021"	"2011"	"2011"	82416
	"Female"	"F"	"Bibb County, GA"	"13021"	"2015"	"2015"	81479
"Total"	"Female"	"F"	"Bibb County, GA"	"13021"			163895
	"Female"	"F"	"Bleckley County, GA"	"13023"	"2011"	"2011"	6892
	"Female"	"F"	"Bleckley County, GA"	"13023"	"2015"	"2015"	6591
"Total"	"Female"	"F"	"Bleckley County, GA"	"13023"			13483
	"Female"	"F"	"Brantley County, GA"	"13025"	"2011"	"2011"	9345
	"Female"	"F"	"Brantley County, GA"	"13025"	"2015"	"2015"	9310
"Total"	"Female"	"F"	"Brantley County, GA"	"13025"			18655
