"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Fayette County, AL"	"01057"	"2011"	"2011"	8614
	"Female"	"F"	"Fayette County, AL"	"01057"	"2015"	"2015"	8441
"Total"	"Female"	"F"	"Fayette County, AL"	"01057"			17055
	"Female"	"F"	"Franklin County, AL"	"01059"	"2011"	"2011"	15927
	"Female"	"F"	"Franklin County, AL"	"01059"	"2015"	"2015"	15689
"Total"	"Female"	"F"	"Franklin County, AL"	"01059"			31616
	"Female"	"F"	"Geneva County, AL"	"01061"	"2011"	"2011"	13711
	"Female"	"F"	"Geneva County, AL"	"01061"	"2015"	"2015"	13575
"Total"	"Female"	"F"	"Geneva County, AL"	"01061"			27286
	"Female"	"F"	"Greene County, AL"	"01063"	"2011"	"2011"	4738
	"Female"	"F"	"Greene County, AL"	"01063"	"2015"	"2015"	4492
"Total"	"Female"	"F"	"Greene County, AL"	"01063"			9230
	"Female"	"F"	"Hale County, AL"	"01065"	"2011"	"2011"	8078
	"Female"	"F"	"Hale County, AL"	"01065"	"2015"	"2015"	7921
"Total"	"Female"	"F"	"Hale County, AL"	"01065"			15999
	"Female"	"F"	"Henry County, AL"	"01067"	"2011"	"2011"	9055
	"Female"	"F"	"Henry County, AL"	"01067"	"2015"	"2015"	8818
"Total"	"Female"	"F"	"Henry County, AL"	"01067"			17873
	"Female"	"F"	"Houston County, AL"	"01069"	"2011"	"2011"	53448
	"Female"	"F"	"Houston County, AL"	"01069"	"2015"	"2015"	54223
"Total"	"Female"	"F"	"Houston County, AL"	"01069"			107671
	"Female"	"F"	"Jackson County, AL"	"01071"	"2011"	"2011"	27000
	"Female"	"F"	"Jackson County, AL"	"01071"	"2015"	"2015"	26513
"Total"	"Female"	"F"	"Jackson County, AL"	"01071"			53513
	"Female"	"F"	"Jefferson County, AL"	"01073"	"2011"	"2011"	346693
	"Female"	"F"	"Jefferson County, AL"	"01073"	"2015"	"2015"	347914
"Total"	"Female"	"F"	"Jefferson County, AL"	"01073"			694607
	"Female"	"F"	"Lamar County, AL"	"01075"	"2011"	"2011"	7339
	"Female"	"F"	"Lamar County, AL"	"01075"	"2015"	"2015"	7108
"Total"	"Female"	"F"	"Lamar County, AL"	"01075"			14447
	"Female"	"F"	"Lauderdale County, AL"	"01077"	"2011"	"2011"	48261
	"Female"	"F"	"Lauderdale County, AL"	"01077"	"2015"	"2015"	48222
"Total"	"Female"	"F"	"Lauderdale County, AL"	"01077"			96483
	"Female"	"F"	"Lawrence County, AL"	"01079"	"2011"	"2011"	17420
	"Female"	"F"	"Lawrence County, AL"	"01079"	"2015"	"2015"	16996
"Total"	"Female"	"F"	"Lawrence County, AL"	"01079"			34416
	"Female"	"F"	"Lee County, AL"	"01081"	"2011"	"2011"	72972
	"Female"	"F"	"Lee County, AL"	"01081"	"2015"	"2015"	79442
"Total"	"Female"	"F"	"Lee County, AL"	"01081"			152414
	"Female"	"F"	"Limestone County, AL"	"01083"	"2011"	"2011"	42285
	"Female"	"F"	"Limestone County, AL"	"01083"	"2015"	"2015"	45689
"Total"	"Female"	"F"	"Limestone County, AL"	"01083"			87974
	"Female"	"F"	"Lowndes County, AL"	"01085"	"2011"	"2011"	5887
	"Female"	"F"	"Lowndes County, AL"	"01085"	"2015"	"2015"	5440
"Total"	"Female"	"F"	"Lowndes County, AL"	"01085"			11327
	"Female"	"F"	"Macon County, AL"	"01087"	"2011"	"2011"	11488
	"Female"	"F"	"Macon County, AL"	"01087"	"2015"	"2015"	10422
"Total"	"Female"	"F"	"Macon County, AL"	"01087"			21910
	"Female"	"F"	"Madison County, AL"	"01089"	"2011"	"2011"	173157
	"Female"	"F"	"Madison County, AL"	"01089"	"2015"	"2015"	180484
"Total"	"Female"	"F"	"Madison County, AL"	"01089"			353641
	"Female"	"F"	"Marengo County, AL"	"01091"	"2011"	"2011"	10942
	"Female"	"F"	"Marengo County, AL"	"01091"	"2015"	"2015"	10424
"Total"	"Female"	"F"	"Marengo County, AL"	"01091"			21366
	"Female"	"F"	"Marion County, AL"	"01093"	"2011"	"2011"	15413
	"Female"	"F"	"Marion County, AL"	"01093"	"2015"	"2015"	15158
